CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual
37103710124701,0691030,12978,Closed,San Diego,San Diego County Office of Education,North Region Community School of Greater Oceanside,"255 Pico Avenue, Suite 101","255 Pico Ave., Ste. 101",San Marcos,92069-3711,CA,"255 Pico Avenue, Suite 101","255 Pico Ave., Ste. 101",San Marcos,92069-3711,CA,No Data,No Data,No Data,Information Not Available,2011-07-01 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,8-12,No Data,No Data,N,No Data,33.142395,-117.16517,No Data,No Data,2013-07-15,No Data
37103710124719,0691030,12951,Closed,San Diego,San Diego County Office of Education,North Region Community School of Greater San Marcos,"255 Pico Avenue, Suite 101","255 Pico Ave., Ste. 101",San Marcos,92069-3711,CA,"255 Pico Avenue, Suite 101","255 Pico Ave., Ste. 101",San Marcos,92069-3711,CA,No Data,No Data,No Data,Information Not Available,2011-07-01 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,8-12,No Data,No Data,N,No Data,33.142395,-117.16517,No Data,No Data,2013-07-15,No Data
37103710126318,0691030,13127,Closed,San Diego,San Diego County Office of Education,Metro Central Region Community,210 West Ash Street,210 West Ash St.,San Diego,92101,CA,210 West Ash Street,210 West Ash St.,San Diego,92101,CA,No Data,No Data,No Data,Information Not Available,2012-07-01 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,7-12,No Data,No Data,N,No Data,32.719982,-117.16530,No Data,No Data,2013-08-27,No Data
37103710126326,0691030,13131,Closed,San Diego,San Diego County Office of Education,Metro East Region Community,210 West Ash Street,210 West Ash St.,San Diego,92101,CA,210 West Ash Street,210 West Ash St.,San Diego,92101,CA,No Data,No Data,No Data,Information Not Available,2012-07-01 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,ELEMHIGH,Elementary-High Combination,7-12,6-12,No Data,No Data,N,No Data,32.719982,-117.16530,No Data,No Data,2013-08-27,No Data
37103710126334,0691030,13087,Closed,San Diego,San Diego County Office of Education,Metro South Region Community,210 West Ash Street,210 West Ash St.,San Diego,92101,CA,210 West Ash Street,210 West Ash St.,San Diego,92101,CA,No Data,No Data,No Data,Information Not Available,2012-07-01 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,7-12,No Data,No Data,N,No Data,32.719982,-117.16530,No Data,No Data,2013-08-27,No Data
37103710126342,0691030,13174,Closed,San Diego,San Diego County Office of Education,South Region Community School of Chula Vista,"800 National City Boulevard, Suite 110","800 National City Blvd., Ste. 110",National City,91950,CA,"800 National City Boulevard, Suite 110","800 National City Blvd., Ste. 110",National City,91950,CA,No Data,No Data,No Data,Information Not Available,2012-07-01 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,7-12,No Data,No Data,N,No Data,32.675789,-117.10698,No Data,No Data,2013-08-27,No Data
37103710126359,0691030,13197,Closed,San Diego,San Diego County Office of Education,South Region Community School of National City,"800 National City Boulevard, Suite 110","800 National City Blvd., Ste. 110",National City,91950,CA,"800 National City Boulevard, Suite 110","800 National City Blvd., Ste. 110",National City,91950,CA,No Data,No Data,No Data,Information Not Available,2012-07-01 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,7-12,No Data,No Data,N,No Data,32.675789,-117.10698,No Data,No Data,2013-08-27,No Data
37103710126367,0691030,13171,Closed,San Diego,San Diego County Office of Education,South Region Community School of San Diego,"800 National City Boulevard, Suite 110","800 National City Blvd., Ste. 110",National City,91950,CA,"800 National City Boulevard, Suite 110","800 National City Blvd., Ste. 110",National City,91950,CA,No Data,No Data,No Data,Information Not Available,2012-07-01 00:00:00,2013-06-28 00:00:00,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,8-12,No Data,No Data,N,No Data,32.675789,-117.10698,No Data,No Data,2013-08-27,No Data
37103710127605,0691030,13517,Active,San Diego,San Diego County Office of Education,High Tech Elementary North County,1480 West San Marcos Boulevard,1480 West San Marcos Blvd.,San Marcos,92078-4017,CA,2861 Womble Road,2861 Womble Rd.,San Diego,92106,CA,(760) 759-2785,No Data,(760) 759-2788,http://www.hightechhigh.org,2013-08-26 00:00:00,No Data,Y,0756,Directly funded,0.0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,0602431,33.131439,-117.20377,Shelley,Glenn Lee,2025-07-01,N
37103710128520,0691030,13682,Active,San Diego,San Diego County Office of Education,San Diego County Community,"6401 Linda Vista Road, Room 216","6401 Linda Vista Rd., Rm. 216",San Diego,92111-7399,CA,"6401 Linda Vista Road, Room 216","6401 Linda Vista Rd., Rm. 216",San Diego,92111-7399,CA,(858) 290-5853,No Data,(858) 279-0675,http://www.sdcoe.net,2013-07-01 00:00:00,No Data,N,No Data,No Data,0.0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,K-12,7-12,C,N,Y,No Data,32.769578,-117.17984,Floyd,North,2024-06-05,N
37103710128538,0691030,13693,Active,San Diego,San Diego County Office of Education,San Diego County Court,2801 Meadow Lark Drive,2801 Meadow Lark Dr.,San Diego,92123,CA,"6401 Linda Vista Road, Room 216","6401 Linda Vista Rd., Rm. 216",San Diego,92111-7399,CA,(858) 298-6857,No Data,(858) 694-4613,http://www.sdcoe.net/jccs,2013-07-01 00:00:00,No Data,N,No Data,No Data,0.0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,K-12,7-12,C,N,Y,No Data,32.794147,-117.15396,Joanne,Finney,2023-08-22,N
37103710134577,0691030,14028,Active,San Diego,San Diego County Office of Education,Audeo Charter II,"3821 Plaza Drive, Suite 402","3821 Plaza Drive, Ste. 402",Oceanside,92056-4605,CA,10170 Huennekens Street,10170 Huennekens St.,San Diego,92121-2964,CA,(858) 678-2050,No Data,(760) 639-6484,http://www.audeo2.com,2016-09-12 00:00:00,No Data,Y,1835,Directly funded,0.0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,6-12,N,N,Y,0601855,33.180779,-117.29137,Tim,Tuter,2024-08-07,N
37103710135202,0691030,14068,Active,San Diego,San Diego County Office of Education,HOPE Infant-Toddler Special Education,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7319,CA,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7319,CA,(858) 292-3801,No Data,(858) 569-5394,No Data,2016-07-01 00:00:00,No Data,N,No Data,No Data,0.0,County Office of Education (COE),08,Preschool,SPEC,Special Education School,PS,Preschool,P,No Data,N,No Data,Y,No Data,32.769578,-117.17984,Rita,Palet,2023-11-20,No Data
37103710136085,0691030,14079,Active,San Diego,San Diego County Office of Education,Scholarship Prep - Oceanside,4070 Mission Avenue,4070 Mission Ave.,Oceanside,92057-6402,CA,4070 Mission Avenue,4070 Mission Ave.,Oceanside,92057-6402,CA,(442) 262-3249,No Data,No Data,http://scholarshipschools.org/,2017-08-29 00:00:00,No Data,Y,1883,Directly funded,0.0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601600,33.232373,-117.31700,Jason,Watts,2023-02-09,N
37103710136192,0691030,14069,Closed,San Diego,San Diego County Office of Education,School of Universal Learning (SOUL),533 Lomas Santa Fe Drive,533 Lomas Santa Fe Dr.,Solana Beach,92075-1323,CA,533 Lomas Santa Fe Drive,533 Lomas Santa Fe Dr.,Solana Beach,92075-1323,CA,No Data,No Data,No Data,Information Not Available,2017-08-29 00:00:00,2020-06-30 00:00:00,Y,1872,No Data,0.0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,7-12,7-11,N,N,Y,No Data,32.994301,-117.26532,No Data,No Data,2020-07-09,N
37103710136473,0691030,14089,Active,San Diego,San Diego County Office of Education,Altus Schools South Bay,3252 Bonita Road,3252 Bonita Rd.,Chula Vista,91910-3200,CA,3252 Bonita Road,3252 Bonita Rd.,Chula Vista,91910-3200,CA,(858) 249-7019,No Data,No Data,http://www.altussouthbay.com,2017-07-31 00:00:00,No Data,Y,1903,Directly funded,0.0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,7-12,7-12,N,N,Y,0601509,32.648779,-117.05338,Allison,Fleck,2025-07-01,N
37103710137067,0691030,14220,Active,San Diego,San Diego County Office of Education,High Tech High Mesa,5331 Mount Alifan,5331 Mt. Alifan,San Diego,92111-2622,CA,2861 Womble Road,2861 Womble Rd.,San Diego,92106,CA,(619) 795-1810,No Data,(619) 795-1811,http://www.hightechhigh.org,2018-08-27 00:00:00,No Data,Y,0756,Directly funded,0.0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,0602341,32.815661,-117.18079,Brett,Peterson,2025-07-01,N
37103710137695,0691030,13054,Active,San Diego,San Diego County Office of Education,Community Montessori,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,(760) 743-7880,No Data,(760) 743-7919,http://www.cmcharter.org,2018-07-01 00:00:00,No Data,Y,1947,Directly funded,0.0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601464,33.129426,-117.11209,Terri,Novacek,2023-02-09,N
37103710137752,0691030,14308,Active,San Diego,San Diego County Office of Education,Dimensions Collaborative,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,(760) 743-7880,No Data,(760) 743-7919,http://www.dimensions.org,2018-07-01 00:00:00,No Data,Y,1946,Directly funded,0.0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,N,N,0601991,33.129426,-117.11209,Terri,Novacek,2023-02-09,N
37103710138016,0691030,14290,Active,San Diego,San Diego County Office of Education,Pacific Springs Charter,2371 Fenton Street,2371 Fenton St.,Chula Vista,91914-3511,CA,2371 Fenton Street,2371 Fenton St.,Chula Vista,91914-3511,CA,(951) 252-8800,No Data,(951) 252-8801,http://www.springscharterschools.org,2018-07-01 00:00:00,No Data,Y,1989,Directly funded,0.0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEM,Elementary,K-12,K-8,N,N,N,0602035,32.652402,-116.96399,Kathleen,Hermsmeyer,2024-08-08,N
37103710138404,0691030,14298,Active,San Diego,San Diego County Office of Education,Classical Academy Vista,2022 University Dr,2022 University Dr,Vista,92083-7736,CA,2022 University Dr,2022 University Dr,Vista,92083-7736,CA,(760) 330-9800,No Data,(760) 330-9810,http://www.classicalacademy.com,2018-08-23 00:00:00,No Data,Y,2016,Directly funded,0.0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601473,33.172498,-117.22066,Kirstin,Lasto,2023-02-09,N
