ANCHORNAME,ADDRESS,CITY,STATECODE,ZIP5,ZIP4,LATITUDE,LONGITUDE,CAICAT,BBSERVICE,PublicWifi,URL,FULLFIPSID,CAIID,CAIType,ConProvide,ConType,ConMedium,ConSpeed,geometry,index_right,BlockCode,DBA,FRN,TechCode,Consumer,MaxAdDn,MaxAdUp,MaxDnTier,MaxUpTier,Shape_Leng,Shape_Area,has_coverage
St. Pius X St. Matthias Academy,7851 Gardendale Street,Downey,CA,90242,,33.9199070689,-118.159340193,1,U,U,U,060375515023008,19644516936000,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.15934019299999 33.91990706900003 0),,,,,,,,,,,,,False
Summit View–Westside,12101 W. Washington Blvd,Los Angeles,CA,90066,,33.9978594955,-118.42481034,1,U,U,U,060377028031007,19644447102900,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.42481033999996 33.99785949500006 0),,,,,,,,,,,,,False
Montessori Children's Academy,7515 Firestone Blvd,Downey,CA,90241,,33.9473375253,-118.145866003,1,U,U,U,060375508011017,19644516992200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.14586600299998 33.94733752500008 0),,,,,,,,,,,,,False
"Heights Christian Schools, La Mirada",12200 Oxford Drive,La Mirada,CA,90638,,33.9196746433,-117.997741538,1,U,U,U,060375036021005,19644857104700,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-117.99774153899995 33.919674644000054 0),,,,,,,,,,,,,False
Foothill Christian,242 West Baseline Road,Glendora,CA,91740,,34.1210038331,-117.86735194,1,U,U,U,060374039013004,19645767037300,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-117.86735193999999 34.12100383300003 0),,,,,,,,,,,,,False
Inglewood College Preparatory,340 E. Kelso St.,Inglewood,CA,90301,,33.958872,-118.35117,1,U,U,U,060376010012022,19646346159600,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.35116921699995 33.95887230300008 0),,,,,,,,,,,,,False
A Bright Beginning CDC,712 E  Manchester Blvd,Inglewood,CA,90301,,33.959414915,-118.345964411,1,U,U,U,060376010023004,19646346140500,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.34596441099995 33.959414915000025 0),,,,,,,,,,,,,False
St. Mary's Academy,701 Grace Avenue,Inglewood,CA,90301,,33.9690640696,-118.345421918,1,U,U,U,060376010011002,19646346935900,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.34542191799994 33.96906406900007 0),,,,,,,,,,,,,False
St. Dorothy Elementary School,215 South Valley Center,Glendora,CA,91741,,34.1336516764,-117.839113986,1,U,U,U,060374004022002,19645766963700,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-117.83911398599997 34.133651676000056 0),,,,,,,,,,,,,False
St. John Chrysostom,530 East Florence Avenue,Inglewood,CA,90301,,33.968818787,-118.347557188,1,U,U,U,060376010011003,19646346964000,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.34755718799994 33.96881878700003 0),,,,,,,,,,,,,False
St. Francis High School,200 Foothill Blvd.,La Canada,CA,91011,,34.196367998,-118.183360909,1,U,U,U,060374607001009,19646596935900,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.18336090899999 34.19636799800003 0),,,,,,,,,,,,,False
Sacred Heart Elementary,625 West Kettering Street,Lancaster,CA,93534,,34.699872,-118.139992,1,U,U,U,060379008061023,19646676963200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.13999143999996 34.699871545000065 0),,,,,,,,,,,,,False
Flintridge Sacred Heart Academy,440 St. Katherine Drive,La Canada,CA,91011,,34.1795026674,-118.185370729,1,U,U,U,060374608002017,19646596934800_6,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.18537072799995 34.179502667000065 0),,,,,,,,,,,,,False
Viewpoint School,23620 Mulholland Highway,Calabasas,CA,91302,,34.135506,-118.64422,1,U,U,U,060378001012011,19646836983200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.64421851999998 34.135505987000045 0),,,,,,,,,,,,,False
MUSE Global School,1666 Las Virgenes Cyn Rd,Calabasas,CA,91302,,34.175415,-118.699207,1,U,U,U,061110074052012,19646836136200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.69920599799997 34.175415298000075 0),,,,,,,,,,,,,False
Qualia: The School for Deeper Learning,4345 Las Virgenes Road,Calabasas,CA,91302,,34.138633971,-118.701275139,1,U,U,U,060378003372002,19646836162200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.70127513899996 34.13863397100005 0),,,,,,,,,,,,,False
Oaks Christian School,31749 La Tienda Drive,Westlake Village,CA,91362,,34.1532248518,-118.810362226,1,U,U,U,060378003385015,19646837101100,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.81036222599994 34.15322485200005 0),,,,,,,,,,,,,False
Lakewood Christian Schools,5336 Arbor Road,Long Beach,CA,90808,,33.84303,-118.128141,1,U,U,U,060375712021004,19647256917300,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.12814008499998 33.84303012600003 0),,,,,,,,,,,,,False
Mesivta of Greater Los Angeles,25115 Mureau Road,Calabasas,CA,91302,,34.1516637811,-118.67193747,1,U,U,U,060378002061016,19646837094600,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.67193746999999 34.151663781000025 0),,,,,,,,,,,,,False
Bethany Baptist Elementary,2244 Clark Avenue,Long Beach,CA,90815,,33.7983264233,-118.133028175,1,U,U,U,060375742013013,19647256960800_7,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.13302817499999 33.79832642300005 0),,,,,,,,,,,,,False
St. Anthony Parish,855 East 5Th Street,Long Beach,CA,90802,,33.7734365451,-118.18140876,1,U,U,U,060375762001019,19647256963400_8,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.18140875999995 33.77343654500004 0),,,,,,,,,,,,,False
Our Lady of Refuge Catholic,5210 East Los Coyotes Diagonal,Long Beach,CA,90815,,33.7974385378,-118.131952302,1,U,U,U,060375742013019,19647256963000,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.13195230199995 33.79743853700006 0),,,,,,,,,,,,,False
St. Barnabas Elementary,3980 Marron Avenue,Long Beach,CA,90807,,33.8310421264,-118.176941621,1,U,U,U,060375719004008,19647256963500,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.17694162099997 33.831042127000046 0),,,,,,,,,,,,,False
Pacific Lutheran Jr./Sr. High School,1473 West 182Nd Street,Gardena,CA,90248,,33.86562,-118.30177,1,U,U,U,060372913003001,19647336132700,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.30176923199997 33.86562011800004 0),,,,,,,,,,,,,False
Rockland Academy,5340 Topanga Canyon Blvd,Woodland Hills,CA,91364,,34.1668,-118.605781,1,U,U,U,060371374011007,19647336136100_11,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.60578010699999 34.16680001800006 0),,,,,,,,,,,,,False
Milken Community School,15800 Zeldins' Way,Los Angeles,CA,90049,,34.1262863336,-118.478966862,1,U,U,U,060371415001024,19647336136100_12,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.478966862 34.12628633400004 0),,,,,,,,,,,,,False
Fusion Academy,"5757 Wilshire Boulevard, Promenade 1",Los Angeles,CA,90036,,34.062418,-118.35367,1,U,U,U,060372151011009,19647336151000,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.35366903999994 34.06241808800007 0),,,,,,,,,,,,,False
Brawerman Elementary East,3663 Wilshire Blvd.,Los Angeles,CA,90010,,34.061723,-118.30519,1,U,U,U,060372118022003,19647336150400,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.30518850399994 34.06172324700003 0),,,,,,,,,,,,,False
Geffen Academy at UCLA,11000 Kinross Avenue,Los Angeles,CA,90095,,34.05892,-118.448651,1,U,U,U,060372653071007,19647336155600,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.44865001899996 34.05892007700004 0),,,,,,,,,,,,,False
Village Glen West,12095 W. Washington Bld.,Los Angeles,CA,90066,,33.997447,-118.424044,1,U,U,U,060377028031007,19647336157400_17,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.42404277699995 33.99744733500006 0),,,,,,,,,,,,,False
Manzanita School and Institute,1717 Old Topanga Canyon Road,Topanga,CA,90290,,34.1123276952,-118.635640392,1,U,U,U,060378001041031,19647336150500_18,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.63564039199997 34.11232769600008 0),,,,,,,,,,,,,False
Westview School of Arts,12101 W Washington Blvd,Los Angeles,CA,90066,,33.9978594955,-118.42481034,1,U,U,U,060377028031007,19647336158400,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.42481033999996 33.99785949500006 0),,,,,,,,,,,,,False
Creative hands kinder and 1st grade academy,2609 W Martin Luther King Blvd Jr,Los Angeles,CA,90008,,34.010777,-118.321494,1,U,U,U,060372340013002,19647336166500_20,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.32149262099995 34.010776648000046 0),,,,,,,,,,,,,False
Bridgeport,13130 Burbank Boulevard,Sherman Oaks,CA,91401,,34.171154197,-118.419256094,1,U,U,U,060371236013005,19647336205400,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.41925609499998 34.17115419700008 0),,,,,,,,,,,,,False
Sierra Canyon School,20801 Rinaldi St.,Chatsworth,CA,91311,,34.2705898825,-118.586185307,1,U,U,U,060371131011004,19647336904400,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.58618530799998 34.27058988300007 0),,,,,,,,,,,,,False
Brentwood School,100 South Barrington Place,Los Angeles,CA,90049,,34.0651428164,-118.469603558,1,U,U,U,060372641021003,19647336934300_26,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.46960355799996 34.06514281600005 0),,,,,,,,,,,,,False
Bishop Mora Salesian High School,960 South Soto Street,Los Angeles,CA,90023,,34.0326861267,-118.215700013,1,U,U,U,060372047002007,19647336934300_27,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.21570001299995 34.032686126000044 0),,,,,,,,,,,,,False
Crespi Carmelite High School,5031 Alonzo Avenue,Encino,CA,91316,,34.16158206,-118.521793824,1,U,U,U,060371395022008,19647336934600,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.52179382399999 34.16158206000006 0),,,,,,,,,,,,,False
Louisville High School,22300 Mulholland Drive,Woodland Hills,CA,91364,,34.1488363533,-118.609626832,1,U,U,U,060371374012014,19647336935200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.60962683199995 34.148836353000036 0),,,,,,,,,,,,,False
Notre Dame High School,13645 Riverside Drive,Sherman Oaks,CA,91423,,34.1594542804,-118.430706734,1,U,U,U,060371246003006,19647336935400_35,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.43070673399995 34.15945428100002 0),,,,,,,,,,,,,False
Rolling Hills Preparatory Schools,1 Rolling Hills Prep Way,San Pedro,CA,90732,,33.78003,-118.301521,1,U,U,U,060372933062013,19647336935700,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.30152000999999 33.780030097000065 0),,,,,,,,,,,,,False
Ribet Academy,2911 North San Fernando Road,Los Angeles,CA,90065,,34.1131066078,-118.242176801,1,U,U,U,060371864032000,19647336935700_37,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.24217680099997 34.11310660700008 0),,,,,,,,,,,,,False
Sacred Heart High,2111 Griffin Avenue,Los Angeles,CA,90031,,34.0697976931,-118.212300135,1,U,U,U,060371998012007,19647336935800,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.21230013499996 34.069797693000055 0),,,,,,,,,,,,,False
Village Christian Schools,8930 Village Avenue,Sun Valley,CA,91352,,34.2301428475,-118.35415972,1,U,U,U,060371021072006,19647336936200_41,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.35415971999998 34.23014284800007 0),,,,,,,,,,,,,False
St. Bernard High School,9100 Falmouth Avenue,Playa Del Rey,CA,90293,,33.9543831894,-118.43365025,1,U,U,U,060372766052002,19647336935900_44,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.43365024899998 33.954383189000055 0),,,,,,,,,,,,,False
Ascension Elementary Catholic,500 West 111Th Place,Los Angeles,CA,90044,,33.93389,-118.282631,1,U,U,U,060372412022006,19647336960800,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.28263000399994 33.93389008300005 0),,,,,,,,,,,,,False
Corpus Christi Elementary,890 Toyopa Drive,Pacific Palisades,CA,90272,,34.0446537945,-118.524068648,1,U,U,U,060372627062002,19647336961000_45,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.52406864799997 34.044653794000055 0),,,,,,,,,,,,,False
Immaculate Conception,830 Green Avenue,Los Angeles,CA,90017,,34.051296,-118.271335,1,U,U,U,060372093001005,19647336962400_51,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.27133396499994 34.051296172000036 0),,,,,,,,,,,,,False
Our Lady of Guadalupe School - Rose Hill,4522 Browne Avenue,Los Angeles,CA,90032,,34.086556,-118.189897,1,U,U,U,060372013012007,19647336962800_58,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.18989637499999 34.08655585400004 0),,,,,,,,,,,,,False
Mary Immaculate Elementary School,10390 Remick Avenue,Pacoima,CA,91331,,34.2587755007,-118.434746594,1,U,U,U,060371044032008,19647336962600_60,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.43474659399999 34.25877550100006 0),,,,,,,,,,,,,False
The Mirman School for Gifted Children,16180 Mulholland Drive,Los Angeles,CA,90049,,34.1296493887,-118.484626336,1,U,U,U,060372623011000,19647336962600_63,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.48462633599996 34.129649389000065 0),,,,,,,,,,,,,False
Our Lady of Lourdes School,315 South Eastman Avenue,Los Angeles,CA,90063,,34.033236,-118.18581,1,U,U,U,060375311014002,19647336962900_64,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.18580937799999 34.033235862000026 0),,,,,,,,,,,,,False
Redeemer Baptist Elementary,10792 National,Los Angeles,CA,90064,,34.031209,-118.419823,1,U,U,U,060372717041001,19647336963200,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.41982176799996 34.031209373000024 0),,,,,,,,,,,,,False
St. Augustine School (SAS),3819 Clarington Avenue,Culver City,CA,90232,,34.0216580222,-118.400256992,1,U,U,U,060372699051003,19647336963400_74,Private Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.40025699299997 34.02165802300004 0),,,,,,,,,,,,,False
